dataset,variant,max_rel_ppm,mean_rel_ppm,median_rel_ppm
published_exact_grid_ge_1e4,lead3,2769.051552101137,186.66190454398335,13.44115951572296
published_exact_grid_ge_1e4,lead34,2854.987634752552,191.80818032466553,12.471931114605821
published_exact_grid_ge_1e4,lead345,2835.890727496682,190.62893050359395,12.555469947464266
published_exact_grid_ge_1e4,lead_closed,2835.890727496682,190.6633322116615,12.548602674402144
published_exact_grid_ge_1e4,cipolla_log3_repacked,3752.5422757784377,248.8845094056078,0.18907548072562044
published_exact_grid_ge_1e4,cipolla_log4_repacked,4010.3505237326817,266.4476337842376,0.018887039315075835
published_exact_grid_ge_1e4,cipolla_log5_repacked,4163.125781779641,276.1305428386722,0.009348944910735353
published_exact_grid_ge_1e4,li_inverse_seed,4382.740215222145,290.04774528902516,0.017580660463412785
reproducible_exact_stage_a,lead3,18.550013944661803,15.724570672613204,14.452237072918184
reproducible_exact_stage_a,lead34,17.147689385440405,14.563077142733112,13.399540451797382
reproducible_exact_stage_a,lead345,17.27719819565407,14.666878223771379,13.491686986156209
reproducible_exact_stage_a,lead_closed,17.26585917482671,14.6580527101916,13.484004200303978
reproducible_exact_stage_a,cipolla_log3_repacked,0.2876755756365384,0.23926663003848403,0.2184913467661676
reproducible_exact_stage_a,cipolla_log4_repacked,0.029193184991059568,0.018291481101678324,0.018994480280246438
reproducible_exact_stage_a,cipolla_log5_repacked,0.07093320229768886,0.028552397622976834,0.01270962130574714
reproducible_exact_stage_a,li_inverse_seed,0.08932814868000499,0.04108403329755319,0.02116578740696154
reproducible_exact_stage_b,lead3,11.433194826055736,9.887577563128,9.192369126894295
reproducible_exact_stage_b,lead34,10.628268287502953,9.206357318320682,8.566869186251584
reproducible_exact_stage_b,lead345,10.695273647810925,9.261419157270513,8.61653273633554
reproducible_exact_stage_b,lead_closed,10.689938461984982,9.257149989149699,8.612746777241586
reproducible_exact_stage_b,cipolla_log3_repacked,0.14261292678993415,0.11347650385020557,0.09958020032703191
reproducible_exact_stage_b,cipolla_log4_repacked,0.018887062372632744,0.016005327534452055,0.014793410979392081
reproducible_exact_stage_b,cipolla_log5_repacked,0.005033287433654644,0.0016410707136193955,0.0008106992805855349
reproducible_exact_stage_b,li_inverse_seed,0.010552676381827312,0.00470550625775374,0.0026842304539686354
