row_id,family,decade_exponent,n,p_n
boundary_window__k4__offset-128,boundary_window,4,9872,103237
boundary_window__k4__offset-127,boundary_window,4,9873,103289
boundary_window__k4__offset-126,boundary_window,4,9874,103291
boundary_window__k4__offset-125,boundary_window,4,9875,103307
boundary_window__k4__offset-124,boundary_window,4,9876,103319
boundary_window__k4__offset-123,boundary_window,4,9877,103333
boundary_window__k4__offset-122,boundary_window,4,9878,103349
boundary_window__k4__offset-121,boundary_window,4,9879,103357
boundary_window__k4__offset-120,boundary_window,4,9880,103387
boundary_window__k4__offset-119,boundary_window,4,9881,103391
boundary_window__k4__offset-118,boundary_window,4,9882,103393
boundary_window__k4__offset-117,boundary_window,4,9883,103399
boundary_window__k4__offset-116,boundary_window,4,9884,103409
boundary_window__k4__offset-115,boundary_window,4,9885,103421
boundary_window__k4__offset-114,boundary_window,4,9886,103423
boundary_window__k4__offset-113,boundary_window,4,9887,103451
boundary_window__k4__offset-112,boundary_window,4,9888,103457
boundary_window__k4__offset-111,boundary_window,4,9889,103471
boundary_window__k4__offset-110,boundary_window,4,9890,103483
boundary_window__k4__offset-109,boundary_window,4,9891,103511
boundary_window__k4__offset-108,boundary_window,4,9892,103529
boundary_window__k4__offset-107,boundary_window,4,9893,103549
boundary_window__k4__offset-106,boundary_window,4,9894,103553
boundary_window__k4__offset-105,boundary_window,4,9895,103561
boundary_window__k4__offset-104,boundary_window,4,9896,103567
boundary_window__k4__offset-103,boundary_window,4,9897,103573
boundary_window__k4__offset-102,boundary_window,4,9898,103577
boundary_window__k4__offset-101,boundary_window,4,9899,103583
boundary_window__k4__offset-100,boundary_window,4,9900,103591
boundary_window__k4__offset-99,boundary_window,4,9901,103613
boundary_window__k4__offset-98,boundary_window,4,9902,103619
boundary_window__k4__offset-97,boundary_window,4,9903,103643
boundary_window__k4__offset-96,boundary_window,4,9904,103651
boundary_window__k4__offset-95,boundary_window,4,9905,103657
boundary_window__k4__offset-94,boundary_window,4,9906,103669
boundary_window__k4__offset-93,boundary_window,4,9907,103681
boundary_window__k4__offset-92,boundary_window,4,9908,103687
boundary_window__k4__offset-91,boundary_window,4,9909,103699
boundary_window__k4__offset-90,boundary_window,4,9910,103703
boundary_window__k4__offset-89,boundary_window,4,9911,103723
boundary_window__k4__offset-88,boundary_window,4,9912,103769
boundary_window__k4__offset-87,boundary_window,4,9913,103787
boundary_window__k4__offset-86,boundary_window,4,9914,103801
boundary_window__k4__offset-85,boundary_window,4,9915,103811
boundary_window__k4__offset-84,boundary_window,4,9916,103813
boundary_window__k4__offset-83,boundary_window,4,9917,103837
boundary_window__k4__offset-82,boundary_window,4,9918,103841
boundary_window__k4__offset-81,boundary_window,4,9919,103843
boundary_window__k4__offset-80,boundary_window,4,9920,103867
boundary_window__k4__offset-79,boundary_window,4,9921,103889
boundary_window__k4__offset-78,boundary_window,4,9922,103903
boundary_window__k4__offset-77,boundary_window,4,9923,103913
boundary_window__k4__offset-76,boundary_window,4,9924,103919
boundary_window__k4__offset-75,boundary_window,4,9925,103951
boundary_window__k4__offset-74,boundary_window,4,9926,103963
boundary_window__k4__offset-73,boundary_window,4,9927,103967
boundary_window__k4__offset-72,boundary_window,4,9928,103969
boundary_window__k4__offset-71,boundary_window,4,9929,103979
boundary_window__k4__offset-70,boundary_window,4,9930,103981
boundary_window__k4__offset-69,boundary_window,4,9931,103991
boundary_window__k4__offset-68,boundary_window,4,9932,103993
boundary_window__k4__offset-67,boundary_window,4,9933,103997
boundary_window__k4__offset-66,boundary_window,4,9934,104003
boundary_window__k4__offset-65,boundary_window,4,9935,104009
boundary_window__k4__offset-64,boundary_window,4,9936,104021
boundary_window__k4__offset-63,boundary_window,4,9937,104033
boundary_window__k4__offset-62,boundary_window,4,9938,104047
boundary_window__k4__offset-61,boundary_window,4,9939,104053
boundary_window__k4__offset-60,boundary_window,4,9940,104059
boundary_window__k4__offset-59,boundary_window,4,9941,104087
boundary_window__k4__offset-58,boundary_window,4,9942,104089
boundary_window__k4__offset-57,boundary_window,4,9943,104107
boundary_window__k4__offset-56,boundary_window,4,9944,104113
boundary_window__k4__offset-55,boundary_window,4,9945,104119
boundary_window__k4__offset-54,boundary_window,4,9946,104123
