row_id,family,decade_exponent,n,p_n
dense_local_window__k15__middle__offset+79,dense_local_window,15,500000000000079,18205684894352699
dense_local_window__k15__middle__offset+80,dense_local_window,15,500000000000080,18205684894352759
dense_local_window__k15__middle__offset+81,dense_local_window,15,500000000000081,18205684894352803
dense_local_window__k15__middle__offset+82,dense_local_window,15,500000000000082,18205684894352861
dense_local_window__k15__middle__offset+83,dense_local_window,15,500000000000083,18205684894352939
dense_local_window__k15__middle__offset+84,dense_local_window,15,500000000000084,18205684894352951
dense_local_window__k15__middle__offset+85,dense_local_window,15,500000000000085,18205684894352953
dense_local_window__k15__middle__offset+86,dense_local_window,15,500000000000086,18205684894352971
dense_local_window__k15__middle__offset+87,dense_local_window,15,500000000000087,18205684894352987
dense_local_window__k15__middle__offset+88,dense_local_window,15,500000000000088,18205684894353031
dense_local_window__k15__middle__offset+89,dense_local_window,15,500000000000089,18205684894353149
dense_local_window__k15__middle__offset+90,dense_local_window,15,500000000000090,18205684894353221
dense_local_window__k15__middle__offset+91,dense_local_window,15,500000000000091,18205684894353263
dense_local_window__k15__middle__offset+92,dense_local_window,15,500000000000092,18205684894353289
dense_local_window__k15__middle__offset+93,dense_local_window,15,500000000000093,18205684894353337
dense_local_window__k15__middle__offset+94,dense_local_window,15,500000000000094,18205684894353361
dense_local_window__k15__middle__offset+95,dense_local_window,15,500000000000095,18205684894353373
dense_local_window__k15__middle__offset+96,dense_local_window,15,500000000000096,18205684894353403
dense_local_window__k15__middle__offset+97,dense_local_window,15,500000000000097,18205684894353409
dense_local_window__k15__middle__offset+98,dense_local_window,15,500000000000098,18205684894353413
dense_local_window__k15__middle__offset+99,dense_local_window,15,500000000000099,18205684894353421
dense_local_window__k15__middle__offset+100,dense_local_window,15,500000000000100,18205684894353479
dense_local_window__k15__middle__offset+101,dense_local_window,15,500000000000101,18205684894353493
dense_local_window__k15__middle__offset+102,dense_local_window,15,500000000000102,18205684894353533
dense_local_window__k15__middle__offset+103,dense_local_window,15,500000000000103,18205684894353557
dense_local_window__k15__middle__offset+104,dense_local_window,15,500000000000104,18205684894353613
dense_local_window__k15__middle__offset+105,dense_local_window,15,500000000000105,18205684894353647
dense_local_window__k15__middle__offset+106,dense_local_window,15,500000000000106,18205684894353673
dense_local_window__k15__middle__offset+107,dense_local_window,15,500000000000107,18205684894353703
dense_local_window__k15__middle__offset+108,dense_local_window,15,500000000000108,18205684894353787
dense_local_window__k15__middle__offset+109,dense_local_window,15,500000000000109,18205684894353829
dense_local_window__k15__middle__offset+110,dense_local_window,15,500000000000110,18205684894353839
dense_local_window__k15__middle__offset+111,dense_local_window,15,500000000000111,18205684894353841
dense_local_window__k15__middle__offset+112,dense_local_window,15,500000000000112,18205684894353923
dense_local_window__k15__middle__offset+113,dense_local_window,15,500000000000113,18205684894354039
dense_local_window__k15__middle__offset+114,dense_local_window,15,500000000000114,18205684894354043
dense_local_window__k15__middle__offset+115,dense_local_window,15,500000000000115,18205684894354049
dense_local_window__k15__middle__offset+116,dense_local_window,15,500000000000116,18205684894354081
dense_local_window__k15__middle__offset+117,dense_local_window,15,500000000000117,18205684894354099
dense_local_window__k15__middle__offset+118,dense_local_window,15,500000000000118,18205684894354141
dense_local_window__k15__middle__offset+119,dense_local_window,15,500000000000119,18205684894354187
dense_local_window__k15__middle__offset+120,dense_local_window,15,500000000000120,18205684894354193
dense_local_window__k15__middle__offset+121,dense_local_window,15,500000000000121,18205684894354219
dense_local_window__k15__middle__offset+122,dense_local_window,15,500000000000122,18205684894354229
dense_local_window__k15__middle__offset+123,dense_local_window,15,500000000000123,18205684894354247
dense_local_window__k15__middle__offset+124,dense_local_window,15,500000000000124,18205684894354271
dense_local_window__k15__middle__offset+125,dense_local_window,15,500000000000125,18205684894354303
dense_local_window__k15__middle__offset+126,dense_local_window,15,500000000000126,18205684894354379
dense_local_window__k15__middle__offset+127,dense_local_window,15,500000000000127,18205684894354403
dense_local_window__k15__middle__offset+128,dense_local_window,15,500000000000128,18205684894354429
dense_local_window__k15__middle__offset+129,dense_local_window,15,500000000000129,18205684894354519
dense_local_window__k15__middle__offset+130,dense_local_window,15,500000000000130,18205684894354541
