row_id,family,decade_exponent,n,p_n
dense_local_window__k13__middle__offset+0,dense_local_window,13,5000000000000,158308642985671
dense_local_window__k13__middle__offset+1,dense_local_window,13,5000000000001,158308642985699
dense_local_window__k13__middle__offset+2,dense_local_window,13,5000000000002,158308642985737
dense_local_window__k13__middle__offset+3,dense_local_window,13,5000000000003,158308642985747
dense_local_window__k13__middle__offset+4,dense_local_window,13,5000000000004,158308642985833
dense_local_window__k13__middle__offset+5,dense_local_window,13,5000000000005,158308642985839
dense_local_window__k13__middle__offset+6,dense_local_window,13,5000000000006,158308642985861
dense_local_window__k13__middle__offset+7,dense_local_window,13,5000000000007,158308642985953
dense_local_window__k13__middle__offset+8,dense_local_window,13,5000000000008,158308642985971
dense_local_window__k13__middle__offset+9,dense_local_window,13,5000000000009,158308642985981
dense_local_window__k13__middle__offset+10,dense_local_window,13,5000000000010,158308642985989
dense_local_window__k13__middle__offset+11,dense_local_window,13,5000000000011,158308642986023
dense_local_window__k13__middle__offset+12,dense_local_window,13,5000000000012,158308642986037
dense_local_window__k13__middle__offset+13,dense_local_window,13,5000000000013,158308642986071
dense_local_window__k13__middle__offset+14,dense_local_window,13,5000000000014,158308642986083
dense_local_window__k13__middle__offset+15,dense_local_window,13,5000000000015,158308642986097
dense_local_window__k13__middle__offset+16,dense_local_window,13,5000000000016,158308642986107
dense_local_window__k13__middle__offset+17,dense_local_window,13,5000000000017,158308642986113
dense_local_window__k13__middle__offset+18,dense_local_window,13,5000000000018,158308642986121
dense_local_window__k13__middle__offset+19,dense_local_window,13,5000000000019,158308642986139
dense_local_window__k13__middle__offset+20,dense_local_window,13,5000000000020,158308642986217
dense_local_window__k13__middle__offset+21,dense_local_window,13,5000000000021,158308642986271
dense_local_window__k13__middle__offset+22,dense_local_window,13,5000000000022,158308642986287
dense_local_window__k13__middle__offset+23,dense_local_window,13,5000000000023,158308642986443
dense_local_window__k13__middle__offset+24,dense_local_window,13,5000000000024,158308642986449
dense_local_window__k13__middle__offset+25,dense_local_window,13,5000000000025,158308642986451
dense_local_window__k13__middle__offset+26,dense_local_window,13,5000000000026,158308642986457
dense_local_window__k13__middle__offset+27,dense_local_window,13,5000000000027,158308642986523
dense_local_window__k13__middle__offset+28,dense_local_window,13,5000000000028,158308642986623
dense_local_window__k13__middle__offset+29,dense_local_window,13,5000000000029,158308642986643
dense_local_window__k13__middle__offset+30,dense_local_window,13,5000000000030,158308642986653
dense_local_window__k13__middle__offset+31,dense_local_window,13,5000000000031,158308642986677
dense_local_window__k13__middle__offset+32,dense_local_window,13,5000000000032,158308642986707
dense_local_window__k13__middle__offset+33,dense_local_window,13,5000000000033,158308642986757
dense_local_window__k13__middle__offset+34,dense_local_window,13,5000000000034,158308642986761
dense_local_window__k13__middle__offset+35,dense_local_window,13,5000000000035,158308642986803
dense_local_window__k13__middle__offset+36,dense_local_window,13,5000000000036,158308642986811
dense_local_window__k13__middle__offset+37,dense_local_window,13,5000000000037,158308642986859
dense_local_window__k13__middle__offset+38,dense_local_window,13,5000000000038,158308642986869
dense_local_window__k13__middle__offset+39,dense_local_window,13,5000000000039,158308642986881
dense_local_window__k13__middle__offset+40,dense_local_window,13,5000000000040,158308642986889
dense_local_window__k13__middle__offset+41,dense_local_window,13,5000000000041,158308642986911
dense_local_window__k13__middle__offset+42,dense_local_window,13,5000000000042,158308642986917
dense_local_window__k13__middle__offset+43,dense_local_window,13,5000000000043,158308642986937
dense_local_window__k13__middle__offset+44,dense_local_window,13,5000000000044,158308642986959
dense_local_window__k13__middle__offset+45,dense_local_window,13,5000000000045,158308642986973
dense_local_window__k13__middle__offset+46,dense_local_window,13,5000000000046,158308642987009
dense_local_window__k13__middle__offset+47,dense_local_window,13,5000000000047,158308642987049
dense_local_window__k13__middle__offset+48,dense_local_window,13,5000000000048,158308642987067
dense_local_window__k13__middle__offset+49,dense_local_window,13,5000000000049,158308642987073
dense_local_window__k13__middle__offset+50,dense_local_window,13,5000000000050,158308642987133
dense_local_window__k13__middle__offset+51,dense_local_window,13,5000000000051,158308642987163
dense_local_window__k13__middle__offset+52,dense_local_window,13,5000000000052,158308642987193
dense_local_window__k13__middle__offset+53,dense_local_window,13,5000000000053,158308642987217
dense_local_window__k13__middle__offset+54,dense_local_window,13,5000000000054,158308642987241
dense_local_window__k13__middle__offset+55,dense_local_window,13,5000000000055,158308642987247
dense_local_window__k13__middle__offset+56,dense_local_window,13,5000000000056,158308642987267
dense_local_window__k13__middle__offset+57,dense_local_window,13,5000000000057,158308642987289
dense_local_window__k13__middle__offset+58,dense_local_window,13,5000000000058,158308642987309
dense_local_window__k13__middle__offset+59,dense_local_window,13,5000000000059,158308642987381
dense_local_window__k13__middle__offset+60,dense_local_window,13,5000000000060,158308642987433
dense_local_window__k13__middle__offset+61,dense_local_window,13,5000000000061,158308642987463
dense_local_window__k13__middle__offset+62,dense_local_window,13,5000000000062,158308642987477
dense_local_window__k13__middle__offset+63,dense_local_window,13,5000000000063,158308642987499
dense_local_window__k13__middle__offset+64,dense_local_window,13,5000000000064,158308642987501
dense_local_window__k13__middle__offset+65,dense_local_window,13,5000000000065,158308642987541
dense_local_window__k13__middle__offset+66,dense_local_window,13,5000000000066,158308642987553
dense_local_window__k13__middle__offset+67,dense_local_window,13,5000000000067,158308642987559
dense_local_window__k13__middle__offset+68,dense_local_window,13,5000000000068,158308642987609
dense_local_window__k13__middle__offset+69,dense_local_window,13,5000000000069,158308642987631
dense_local_window__k13__middle__offset+70,dense_local_window,13,5000000000070,158308642987633
dense_local_window__k13__middle__offset+71,dense_local_window,13,5000000000071,158308642987661
dense_local_window__k13__middle__offset+72,dense_local_window,13,5000000000072,158308642987679
dense_local_window__k13__middle__offset+73,dense_local_window,13,5000000000073,158308642987687
dense_local_window__k13__middle__offset+74,dense_local_window,13,5000000000074,158308642987699
dense_local_window__k13__middle__offset+75,dense_local_window,13,5000000000075,158308642987739
dense_local_window__k13__middle__offset+76,dense_local_window,13,5000000000076,158308642987769
dense_local_window__k13__middle__offset+77,dense_local_window,13,5000000000077,158308642987783
